"","census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","w_ar_pct","b_ar_pct","t_ar_pct","wt_ar_pct","bt_ar_pct","tt_ar_pct","ww_ar_pct","bb_ar_pct","ttt_ar_pct","est_tot","sir_tot","est_b","sir_b","est_w","sir_w"
"1",10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,41.7948254025692,58.1991435980942,100,21.9783704925312,30.6048016237988,52.58317211633,84.2963143169931,45.6027597939606,52.58317211633,107.727873869804,15.3763580834575,7.45732565069664,127.690673209384,0.474422362055978,1206.4293554304
"2",10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,46.7133387026826,52.9087417136485,100,27.4271579789749,31.0647120875923,58.7101233130843,121.007863906275,43.3480533983047,58.7101233130843,93.9244926318083,17.1657400622227,6.14420573962786,136.766793986339,0.408768503571868,1482.00998038687
"3",10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,47.7397810896048,51.8830004328737,100,26.8325744673456,29.1613082617914,56.2024260540127,137.586882908572,37.0730414033847,56.2024260540127,98.2978411428565,16.4332873691039,6.93402356794152,119.277393926266,0.384682954861662,1592.79378871564
"4",10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,48.2085138573688,51.71583797538,100,28.4716299094269,30.5430323707404,59.0552780147029,110.202798302154,41.8918166118879,59.0552780147029,84.1186252671925,17.2645895772702,4.92976361941879,149.510008203307,0.393053767762897,1421.75163406743
"5",10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,46.1038405611154,53.8020699683517,100,24.3659870711089,28.434519235116,52.8457122191583,95.2128599187423,38.6577346198759,52.8457122191583,75.5769289565515,15.447244174921,3.73752837531078,163.907582819908,0.300532983838033,1345.70689992902
"6",10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,49.7788569941896,49.5186887520597,100,26.5605478691407,26.4217296747027,53.3524593956781,67.9209560998698,44.6756904780534,53.3524593956781,73.8344229091807,15.5949009220822,2.66514321315154,206.499250123544,0.418804094100321,1106.39065213122
"7",10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,46.7645046004106,52.9237320355866,100,27.3929891764287,31.0008462874705,58.5720012471605,69.7199863961002,55.2775792232547,58.5720012471605,76.7044328695561,17.1214075915824,3.20028806235703,210.890681919119,0.456530619460791,1105.06049172256
"8",10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,45.59295531232,54.0696238992675,100,24.6101905734974,29.1857314201946,53.9736129003598,61.1411543979693,53.6282752428373,53.9736129003598,76.9094335810115,15.7772878399613,2.93938529654939,216.162130133975,0.429905678593224,1045.46907568672
"9",10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,51.8421910661885,47.4948375176611,100,21.0400952759031,19.2757266993075,40.5804772617,50.5778814547768,36.9681076051096,40.5804772617,77.4561021448925,11.8623805807212,1.88649327903192,219.985642344062,0.395651454411408,962.369818053784
"10",10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,45.2168563518917,54.4447862196247,100,4.46794930245281,5.37977569070849,9.87811920610316,10.6052954332299,9.33003004585947,9.87811920610316,112.408723448035,2.88866489672784,1.22626151446009,133.457842265788,0.233910858456375,440.237255774075
"11",10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,30.248654191233,69.7257113560625,100,3.43013284497544,7.90674689689253,11.336879741868,7.33329190230564,14.9854002534296,11.336879741868,117.53374123442,3.31537529885077,1.80297235945274,142.934288377274,0.224786883358309,363.315164639271
"12",10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,28.4697508896797,71.4978971206729,100,2.49284722812385,6.26044587972012,8.75329310784397,5.50653901508041,11.5822021906609,8.75329310784397,120.608751906251,2.5598806641625,1.53997266913438,134.758343330593,0.192425225649629,300.931630657055
"13",10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,42.708003796267,57.2603606453654,100,3.7634858242034,5.04585877170974,8.80934459591313,8.4900320734545,9.19668716020528,8.80934459591313,122.556258665077,2.57630555048042,1.3009042850006,129.202260238588,0.241078912076266,395.802833948919
"14",10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,37.0809848709582,62.8893503411451,100,3.37920034603012,5.73112378686708,9.11032413289719,7.44890054227996,11.4961227699149,9.11032413289719,126.382938612244,2.66439097397265,1.42770978740063,138.76981200776,0.237857927847062,369.977998730235
